Date,Open,High,Low,Close,Volume,Symbol
2010-01-04,5819.5,5889.2,5819.5,5877.25,0,NIFTY_IT
2010-01-05,5898.95,5923.25,5874.9,5913.65,0,NIFTY_IT
2010-01-06,5913.9,5922.15,5816.55,5824.9,0,NIFTY_IT
2010-01-07,5828.2,5840.05,5690.8,5702.85,0,NIFTY_IT
2010-01-08,5694.8,5694.8,5599.3,5607.9,0,NIFTY_IT
2010-01-11,5629.7,5691.8,5606.15,5649.65,0,NIFTY_IT
2010-01-12,5741.65,5897.0,5741.65,5862.4,0,NIFTY_IT
2010-01-13,5866.55,6082.5,5846.75,6075.8,0,NIFTY_IT
2010-01-14,6095.7,6160.0,6004.85,6105.3,0,NIFTY_IT
2010-01-15,6095.15,6145.4,6058.6,6118.4,0,NIFTY_IT
2010-01-18,6131.75,6190.85,6112.4,6181.15,0,NIFTY_IT
2010-01-19,6175.25,6181.6,6044.55,6068.7,0,NIFTY_IT
2010-01-20,6108.95,6123.3,6024.1,6052.4,0,NIFTY_IT
2010-01-21,6028.45,6098.65,5927.15,5951.9,0,NIFTY_IT
2010-01-22,5951.95,5951.95,5814.6,5874.6,0,NIFTY_IT
2010-01-25,5850.6,5850.6,5745.95,5799.3,0,NIFTY_IT
2010-01-27,5753.65,5767.9,5577.5,5599.0,0,NIFTY_IT
2010-01-28,5639.8,5729.2,5572.05,5649.35,0,NIFTY_IT
2010-01-29,5554.85,5619.45,5423.45,5594.15,0,NIFTY_IT
2010-02-01,5543.55,5739.55,5477.95,5643.45,0,NIFTY_IT
2010-02-02,5720.05,5745.0,5561.7,5586.7,0,NIFTY_IT
2010-02-03,5599.55,5713.75,5599.55,5698.85,0,NIFTY_IT
2010-02-04,5686.75,5686.75,5541.75,5565.95,0,NIFTY_IT
2010-02-05,5460.75,5510.6,5401.55,5449.75,0,NIFTY_IT
2010-02-06,5453.4,5522.65,5453.4,5501.7,0,NIFTY_IT
2010-02-08,5503.1,5555.75,5387.95,5484.65,0,NIFTY_IT
2010-02-09,5474.6,5620.8,5474.6,5606.3,0,NIFTY_IT
2010-02-10,5616.7,5654.05,5563.65,5573.45,0,NIFTY_IT
2010-02-11,5595.2,5678.05,5595.2,5644.2,0,NIFTY_IT
2010-02-15,5669.9,5698.85,5630.05,5667.05,0,NIFTY_IT
2010-02-16,5665.5,5767.8,5642.25,5745.1,0,NIFTY_IT
2010-02-17,5779.7,5798.25,5712.05,5743.8,0,NIFTY_IT
2010-02-18,5745.8,5785.5,5722.15,5741.1,0,NIFTY_IT
2010-02-19,5701.8,5758.2,5686.25,5712.45,0,NIFTY_IT
2010-02-22,5759.55,5815.7,5740.9,5752.8,0,NIFTY_IT
2010-02-23,5750.9,5796.6,5729.9,5783.8,0,NIFTY_IT
2010-02-24,5744.25,5828.3,5744.25,5779.75,0,NIFTY_IT
2010-02-25,5810.25,5814.9,5752.35,5782.1,0,NIFTY_IT
2010-02-26,5787.3,5832.0,5724.8,5766.7,0,NIFTY_IT
