time,open,high,low,close,volume
2010-01-04 05:30,5200.9,5238.45,5167.1,5232.2,0
2010-01-05 05:30,5277.15,5288.35,5242.4,5277.9,0
2010-01-06 05:30,5278.15,5310.85,5260.05,5281.8,0
2010-01-07 05:30,5281.8,5302.55,5244.75,5263.1,0
2010-01-08 05:30,5264.25,5276.75,5234.7,5244.75,0
2010-01-11 05:30,5263.8,5287.2,5227.8,5249.4,0
2010-01-12 05:30,5251.1,5300.5,5200.95,5210.4,0
2010-01-13 05:30,5212.6,5239.2,5169.55,5233.95,0
2010-01-14 05:30,5234.5,5272.85,5232.5,5259.9,0
2010-01-15 05:30,5259.9,5279.85,5242.45,5252.2,0
2010-01-18 05:30,5253.65,5292.5,5228.95,5274.85,0
2010-01-19 05:30,5274.2,5287.8,5218.65,5225.65,0
2010-01-20 05:30,5226.1,5256.7,5201.4,5221.7,0
2010-01-21 05:30,5220.2,5220.35,5085.45,5094.15,0
2010-01-22 05:30,5094.15,5094.15,4954.85,5036.0,0
2010-01-25 05:30,5034.55,5035.7,4983.05,5007.9,0
2010-01-27 05:30,5008.5,5008.5,4833.05,4853.1,0
2010-01-28 05:30,4863.0,4929.9,4824.95,4867.25,0
2010-01-29 05:30,4866.15,4893.7,4766.0,4882.05,0
2010-02-01 05:30,4882.05,4918.8,4827.15,4899.7,0
2010-02-02 05:30,4907.85,4951.15,4814.1,4830.1,0
2010-02-03 05:30,4831.0,4949.15,4831.0,4931.85,0
2010-02-04 05:30,4931.3,4931.3,4832.35,4845.35,0
2010-02-05 05:30,4819.65,4827.0,4692.35,4718.65,0
2010-02-06 05:30,4712.75,4768.15,4712.75,4757.25,0
2010-02-08 05:30,4755.35,4799.05,4675.4,4760.4,0
2010-02-09 05:30,4760.55,4810.4,4739.35,4792.65,0
2010-02-10 05:30,4793.0,4826.85,4748.1,4757.2,0
2010-02-11 05:30,4757.25,4843.8,4757.25,4826.85,0
2010-02-15 05:30,4827.9,4845.6,4783.9,4801.95,0
2010-02-16 05:30,4801.8,4880.0,4791.35,4855.75,0
2010-02-17 05:30,4858.65,4929.7,4857.6,4914.0,0
2010-02-18 05:30,4915.1,4922.05,4873.7,4887.75,0
2010-02-19 05:30,4887.3,4887.3,4805.55,4844.9,0
2010-02-22 05:30,4849.35,4912.05,4845.9,4856.4,0
2010-02-23 05:30,4856.6,4884.1,4833.15,4870.05,0
2010-02-24 05:30,4869.55,4880.55,4834.65,4858.6,0
2010-02-25 05:30,4859.0,4880.15,4835.6,4859.75,0
